,A,B,C,D,E,F,G,high,input,low,nthreads,st,pkg0,pkg1,pp00,pp01,dram0,dram1,time
1,1,1,1,1,1,1,1,2300000,pathfinder-1kx1.5k.adj_list,1200000,24,0 63,2378.123322,2419.743500,1362.421082,1412.142776,174.431274,157.856979,71.291260
2,-1,-1,-1,-1,-1,-1,-1,2300000,pathfinder-1kx1.5k.adj_list,1200000,24,63 0,2405.803482,2465.190353,1008.129852,1077.213150,239.395721,227.379562,98.512718
3,1,1,1,1,1,1,1,2300000,pathfinder-1kx1.5k.adj_list,1200000,24,0 63,2306.619705,2364.068848,1334.584229,1398.619370,165.391235,162.305145,68.521500
4,-1,-1,-1,-1,-1,-1,-1,2300000,pathfinder-1kx1.5k.adj_list,1200000,24,63 0,2407.879150,2467.198990,1009.194077,1077.209717,239.544250,232.452682,98.850029
5,1,1,1,1,1,1,1,2300000,pathfinder-1kx1.5k.adj_list,1200000,24,0 63,2348.465317,2385.661789,1337.537491,1381.322830,174.693436,164.104172,71.351830
6,-1,-1,-1,-1,-1,-1,-1,2300000,pathfinder-1kx1.5k.adj_list,1200000,24,63 0,2402.827637,2461.592361,1005.901443,1073.344360,240.730240,233.697220,98.769783
7,1,1,1,1,1,1,1,2300000,pathfinder-1kx1.5k.adj_list,1200000,24,0 63,2339.666260,2384.354156,1330.499588,1381.167770,172.456223,165.556641,71.284058
8,-1,-1,-1,-1,-1,-1,-1,2300000,pathfinder-1kx1.5k.adj_list,1200000,24,63 0,2396.875412,2464.357956,1001.646027,1077.424469,240.423370,209.393555,98.672325
9,1,1,1,1,1,1,1,2300000,pathfinder-1kx1.5k.adj_list,1200000,24,0 63,2412.514160,2380.646820,1426.579697,1400.959610,172.315598,154.253464,69.624207
10,-1,-1,-1,-1,-1,-1,-1,2300000,pathfinder-1kx1.5k.adj_list,1200000,24,63 0,2404.961700,2467.724884,1006.013870,1078.188187,241.100540,208.909241,98.905548
11,1,1,1,1,1,1,1,2300000,pathfinder-1kx1.5k.adj_list,1200000,24,0 63,2400.311569,2382.218262,1391.500092,1379.501144,174.750626,163.540741,71.280907
12,-1,-1,-1,-1,-1,-1,-1,2300000,pathfinder-1kx1.5k.adj_list,1200000,24,63 0,2397.499374,2464.123596,1000.717514,1076.504608,239.572098,232.689453,98.780983
13,1,1,1,1,1,1,1,2300000,pathfinder-1kx1.5k.adj_list,1200000,24,0 63,2337.224167,2383.233322,1328.163223,1380.271103,174.674133,166.202179,71.284004
14,-1,-1,-1,-1,-1,-1,-1,2300000,pathfinder-1kx1.5k.adj_list,1200000,24,63 0,2394.883865,2459.354538,1000.709305,1074.654053,241.779022,209.363846,98.591370
15,1,1,1,1,1,1,1,2300000,pathfinder-1kx1.5k.adj_list,1200000,24,0 63,2443.054443,2380.367462,1434.961533,1378.287476,176.011429,163.673691,71.248993
16,-1,-1,-1,-1,-1,-1,-1,2300000,pathfinder-1kx1.5k.adj_list,1200000,24,63 0,2402.664658,2463.060150,1003.131653,1073.216263,240.917694,215.854767,98.960541
17,1,1,1,1,1,1,1,2300000,pathfinder-1kx1.5k.adj_list,1200000,24,0 63,2448.431107,2379.833313,1441.849808,1379.070175,175.279129,165.819260,71.140915
18,-1,-1,-1,-1,-1,-1,-1,2300000,pathfinder-1kx1.5k.adj_list,1200000,24,63 0,2420.606247,2454.770248,1030.327667,1074.392166,242.711502,239.951462,98.288681
19,1,1,1,1,1,1,1,2300000,pathfinder-1kx1.5k.adj_list,1200000,24,0 63,2299.919189,2374.783737,1326.579285,1407.067291,167.895142,160.407867,68.771042
20,-1,-1,-1,-1,-1,-1,-1,2300000,pathfinder-1kx1.5k.adj_list,1200000,24,63 0,2407.992920,2473.241318,1006.419067,1080.937469,241.911240,222.254105,99.110603
21,1,1,1,1,1,1,1,2300000,pathfinder-1kx1.5k.adj_list,1200000,24,0 63,2377.884384,2389.993713,1368.220123,1386.055969,174.734055,156.623108,71.338394
22,-1,-1,-1,-1,-1,-1,-1,2300000,pathfinder-1kx1.5k.adj_list,1200000,24,63 0,2409.444199,2479.226578,1001.963699,1081.043198,242.268600,232.146545,99.542847
23,1,1,1,1,1,1,1,2300000,pathfinder-1kx1.5k.adj_list,1200000,24,0 63,2440.608002,2381.811798,1432.180115,1379.537216,176.472351,162.824844,71.253792
24,-1,-1,-1,-1,-1,-1,-1,2300000,pathfinder-1kx1.5k.adj_list,1200000,24,63 0,2397.560196,2463.951584,1000.282227,1075.714417,241.231888,219.375107,98.806824
25,1,1,1,1,1,1,1,2300000,pathfinder-1kx1.5k.adj_list,1200000,24,0 63,2336.596298,2390.615265,1329.458466,1389.545502,174.899460,152.387344,71.136093
26,-1,-1,-1,-1,-1,-1,-1,2300000,pathfinder-1kx1.5k.adj_list,1200000,24,63 0,2401.400986,2467.741867,1002.138321,1077.676285,243.177292,233.886551,98.954468
27,1,1,1,1,1,1,1,2300000,pathfinder-1kx1.5k.adj_list,1200000,24,0 63,2427.608459,2381.637192,1418.641998,1379.038864,176.980484,167.889084,71.279488
28,-1,-1,-1,-1,-1,-1,-1,2300000,pathfinder-1kx1.5k.adj_list,1200000,24,63 0,2406.735001,2471.233765,1002.857849,1076.325821,240.912491,231.787323,99.276611
29,1,1,1,1,1,1,1,2300000,pathfinder-1kx1.5k.adj_list,1200000,24,0 63,2454.052032,2379.679535,1446.253403,1377.843033,175.430206,167.711990,71.194939
30,-1,-1,-1,-1,-1,-1,-1,2300000,pathfinder-1kx1.5k.adj_list,1200000,24,63 0,2395.122528,2457.730942,1000.152145,1071.739319,241.148972,232.063248,98.634689
31,1,1,1,1,1,1,1,2300000,pathfinder-1kx1.5k.adj_list,1200000,24,0 63,2335.850449,2381.475479,1326.944778,1378.604523,174.920731,165.414062,71.295082
32,-1,-1,-1,-1,-1,-1,-1,2300000,pathfinder-1kx1.5k.adj_list,1200000,24,63 0,2390.030884,2451.832123,997.452560,1068.499725,239.015717,221.373642,98.478287
33,1,1,1,1,1,1,1,2300000,pathfinder-1kx1.5k.adj_list,1200000,24,0 63,2360.377380,2380.087997,1350.903671,1376.583786,175.343430,157.230759,71.359619
34,-1,-1,-1,-1,-1,-1,-1,2300000,pathfinder-1kx1.5k.adj_list,1200000,24,63 0,2408.096817,2470.689514,1003.015076,1075.723862,241.757339,233.061356,99.360336
35,1,1,1,1,1,1,1,2300000,pathfinder-1kx1.5k.adj_list,1200000,24,0 63,2312.292267,2370.890259,1317.497208,1382.294601,172.615662,164.417587,70.297928
36,-1,-1,-1,-1,-1,-1,-1,2300000,pathfinder-1kx1.5k.adj_list,1200000,24,63 0,2388.640991,2453.730743,995.471817,1069.557709,238.453140,232.165955,98.522301
37,1,1,1,1,1,1,1,2300000,pathfinder-1kx1.5k.adj_list,1200000,24,0 63,2330.372787,2375.688934,1333.440262,1384.792160,174.088715,156.502151,70.448013
38,-1,-1,-1,-1,-1,-1,-1,2300000,pathfinder-1kx1.5k.adj_list,1200000,24,63 0,2416.312271,2478.418381,1006.084702,1077.764984,242.315567,220.526703,99.717751
39,1,1,1,1,1,1,1,2300000,pathfinder-1kx1.5k.adj_list,1200000,24,0 63,2353.323547,2421.255783,1345.474457,1419.118317,175.029785,168.581650,71.218559
40,-1,-1,-1,-1,-1,-1,-1,2300000,pathfinder-1kx1.5k.adj_list,1200000,24,63 0,2396.937820,2458.038803,1001.188797,1070.774536,238.961182,233.034714,98.698807
41,1,1,1,1,1,1,1,2300000,pathfinder-1kx1.5k.adj_list,1200000,24,0 63,2432.871689,2377.742142,1437.048431,1387.752060,173.800095,168.124603,70.370537
42,-1,-1,-1,-1,-1,-1,-1,2300000,pathfinder-1kx1.5k.adj_list,1200000,24,63 0,2386.464996,2450.149261,997.194397,1069.984604,237.882965,231.757843,98.251030
43,1,1,1,1,1,1,1,2300000,pathfinder-1kx1.5k.adj_list,1200000,24,0 63,2340.220078,2380.041077,1331.929321,1377.858978,174.724762,164.995560,71.247971
44,-1,-1,-1,-1,-1,-1,-1,2300000,pathfinder-1kx1.5k.adj_list,1200000,24,63 0,2404.602127,2460.429367,1006.900391,1071.382584,239.628235,233.010956,98.848999
45,1,1,1,1,1,1,1,2300000,pathfinder-1kx1.5k.adj_list,1200000,24,0 63,2312.651627,2381.646667,1317.059753,1391.116501,171.813660,166.365936,70.347221
46,-1,-1,-1,-1,-1,-1,-1,2300000,pathfinder-1kx1.5k.adj_list,1200000,24,63 0,2396.273804,2456.523346,1000.987778,1070.405029,238.221466,233.627579,98.676758
47,1,1,1,1,1,1,1,2300000,pathfinder-1kx1.5k.adj_list,1200000,24,0 63,2428.767654,2379.397797,1422.433517,1378.470337,176.110260,158.731201,71.121628
48,-1,-1,-1,-1,-1,-1,-1,2300000,pathfinder-1kx1.5k.adj_list,1200000,24,63 0,2396.247421,2455.211472,1002.503082,1070.848511,239.403458,224.320404,98.571167
49,1,1,1,1,1,1,1,2300000,pathfinder-1kx1.5k.adj_list,1200000,24,0 63,2325.715317,2380.613327,1317.560577,1377.703323,174.179550,168.739471,71.231667
50,-1,-1,-1,-1,-1,-1,-1,2300000,pathfinder-1kx1.5k.adj_list,1200000,24,63 0,2387.791763,2448.649185,998.753906,1068.754562,238.126511,233.854309,98.234116
51,1,1,1,1,1,1,1,2300000,pathfinder-1kx1.5k.adj_list,1200000,24,0 63,2325.891922,2382.618164,1317.865128,1380.137909,174.449493,159.928284,71.224991
52,-1,-1,-1,-1,-1,-1,-1,2300000,pathfinder-1kx1.5k.adj_list,1200000,24,63 0,2396.597473,2458.120407,1002.774826,1074.158646,240.920273,226.855240,98.550583
53,1,1,1,1,1,1,1,2300000,pathfinder-1kx1.5k.adj_list,1200000,24,0 63,2423.218124,2380.109818,1416.661758,1378.814896,175.612991,170.081100,71.138321
54,-1,-1,-1,-1,-1,-1,-1,2300000,pathfinder-1kx1.5k.adj_list,1200000,24,63 0,2400.402069,2464.136398,1000.684402,1073.870148,240.555450,226.588120,99.000229
55,1,1,1,1,1,1,1,2300000,pathfinder-1kx1.5k.adj_list,1200000,24,0 63,2330.847046,2380.009674,1324.366394,1379.102142,173.594009,159.462570,71.125397
56,-1,-1,-1,-1,-1,-1,-1,2300000,pathfinder-1kx1.5k.adj_list,1200000,24,63 0,2407.166199,2467.548508,1004.268448,1074.824646,240.526123,230.825439,99.196808
57,1,1,1,1,1,1,1,2300000,pathfinder-1kx1.5k.adj_list,1200000,24,0 63,2330.864059,2382.173935,1322.860001,1379.505966,173.482117,161.666077,71.241066
58,-1,-1,-1,-1,-1,-1,-1,2300000,pathfinder-1kx1.5k.adj_list,1200000,24,63 0,2402.333267,2465.525330,1006.200455,1079.503952,240.449493,235.013016,98.696045
59,1,1,1,1,1,1,1,2300000,pathfinder-1kx1.5k.adj_list,1200000,24,0 63,2239.615784,2312.864273,1348.264175,1425.570221,155.387146,151.927124,62.987556
60,-1,-1,-1,-1,-1,-1,-1,2300000,pathfinder-1kx1.5k.adj_list,1200000,24,63 0,2396.709824,2459.485474,1001.570999,1072.636612,240.662170,222.049469,98.663345
61,1,1,1,1,1,1,1,2300000,pathfinder-1kx1.5k.adj_list,1200000,24,0 63,2408.720276,2381.673386,1400.045227,1378.894974,176.083725,168.365005,71.270737
62,-1,-1,-1,-1,-1,-1,-1,2300000,pathfinder-1kx1.5k.adj_list,1200000,24,63 0,2419.475540,2476.662399,1014.715042,1080.648071,242.832840,236.939148,99.344955
63,1,1,1,1,1,1,1,2300000,pathfinder-1kx1.5k.adj_list,1200000,24,0 63,2316.296326,2361.374664,1317.199341,1367.805725,171.848328,158.213150,70.609322
64,-1,-1,-1,-1,-1,-1,-1,2300000,pathfinder-1kx1.5k.adj_list,1200000,24,63 0,2390.814621,2455.574997,998.771149,1072.438080,239.207108,233.428467,98.425575
65,1,1,1,1,1,1,1,2300000,pathfinder-1kx1.5k.adj_list,1200000,24,0 63,2400.965454,2378.724991,1394.435623,1378.253571,174.278259,168.531097,71.095154
66,-1,-1,-1,-1,-1,-1,-1,2300000,pathfinder-1kx1.5k.adj_list,1200000,24,63 0,2394.669235,2457.966293,1001.651398,1074.144592,238.890884,232.549011,98.505554
67,1,1,1,1,1,1,1,2300000,pathfinder-1kx1.5k.adj_list,1200000,24,0 63,2437.903931,2378.450867,1429.689026,1376.122406,175.952896,166.313797,71.252037
68,-1,-1,-1,-1,-1,-1,-1,2300000,pathfinder-1kx1.5k.adj_list,1200000,24,63 0,2373.878799,2435.427383,991.472626,1062.118210,237.376785,219.124283,97.758179
69,1,1,1,1,1,1,1,2300000,pathfinder-1kx1.5k.adj_list,1200000,24,0 63,2353.679230,2384.080673,1344.949966,1380.910812,173.219604,157.495010,71.297539
70,-1,-1,-1,-1,-1,-1,-1,2300000,pathfinder-1kx1.5k.adj_list,1200000,24,63 0,2400.620636,2462.476242,1003.334961,1074.128281,240.355179,233.399261,98.800064
71,1,1,1,1,1,1,1,2300000,pathfinder-1kx1.5k.adj_list,1200000,24,0 63,2379.224976,2383.428802,1372.769775,1382.206482,173.675598,166.519287,71.147705
72,-1,-1,-1,-1,-1,-1,-1,2300000,pathfinder-1kx1.5k.adj_list,1200000,24,63 0,2395.102066,2453.478241,1003.011917,1070.271957,238.973831,214.469559,98.451889
73,1,1,1,1,1,1,1,2300000,pathfinder-1kx1.5k.adj_list,1200000,24,0 63,2181.695007,2292.347153,1292.395767,1407.930695,154.716843,145.420853,62.839031
74,-1,-1,-1,-1,-1,-1,-1,2300000,pathfinder-1kx1.5k.adj_list,1200000,24,63 0,2393.302170,2458.563293,996.875595,1070.638931,239.371475,221.959991,98.770065
75,1,1,1,1,1,1,1,2300000,pathfinder-1kx1.5k.adj_list,1200000,24,0 63,2338.044067,2382.130554,1328.968033,1379.096237,174.255936,166.054794,71.309761
76,-1,-1,-1,-1,-1,-1,-1,2300000,pathfinder-1kx1.5k.adj_list,1200000,24,63 0,2394.684021,2457.963348,998.828537,1071.734055,241.230957,221.741074,98.712227
77,1,1,1,1,1,1,1,2300000,pathfinder-1kx1.5k.adj_list,1200000,24,0 63,2454.047943,2392.785172,1438.976562,1383.700439,177.937469,169.674576,71.762482
78,-1,-1,-1,-1,-1,-1,-1,2300000,pathfinder-1kx1.5k.adj_list,1200000,24,63 0,2385.825287,2447.283539,995.431351,1066.673325,239.196823,230.733536,98.320816
79,1,1,1,1,1,1,1,2300000,pathfinder-1kx1.5k.adj_list,1200000,24,0 63,2433.644577,2388.991608,1424.214066,1385.889435,178.015244,157.294037,71.325005
80,-1,-1,-1,-1,-1,-1,-1,2300000,pathfinder-1kx1.5k.adj_list,1200000,24,63 0,2396.900421,2462.672928,1001.582581,1076.525391,239.603867,217.346863,98.674339
81,1,1,1,1,1,1,1,2300000,pathfinder-1kx1.5k.adj_list,1200000,24,0 63,2361.871017,2379.631836,1355.499084,1379.703644,174.662384,156.252747,71.113480
82,-1,-1,-1,-1,-1,-1,-1,2300000,pathfinder-1kx1.5k.adj_list,1200000,24,63 0,2404.832748,2463.375504,1004.386093,1072.464081,241.380707,220.691406,99.034241
83,1,1,1,1,1,1,1,2300000,pathfinder-1kx1.5k.adj_list,1200000,24,0 63,2418.482224,2378.295670,1429.416718,1394.529205,173.533859,159.788467,69.913231
84,-1,-1,-1,-1,-1,-1,-1,2300000,pathfinder-1kx1.5k.adj_list,1200000,24,63 0,2386.097321,2446.540710,995.438919,1065.384308,239.546280,231.020370,98.348343
85,1,1,1,1,1,1,1,2300000,pathfinder-1kx1.5k.adj_list,1200000,24,0 63,2278.543259,2337.607010,1337.887451,1402.430344,163.661377,158.147705,66.464394
86,-1,-1,-1,-1,-1,-1,-1,2300000,pathfinder-1kx1.5k.adj_list,1200000,24,63 0,2395.833435,2453.680511,1001.636292,1068.377594,239.109222,232.593338,98.608070
87,1,1,1,1,1,1,1,2300000,pathfinder-1kx1.5k.adj_list,1200000,24,0 63,2341.124695,2386.394073,1332.865845,1383.446854,173.380188,162.756546,71.223763
88,-1,-1,-1,-1,-1,-1,-1,2300000,pathfinder-1kx1.5k.adj_list,1200000,24,63 0,2395.196823,2456.828995,997.738220,1068.561768,240.461121,207.645065,98.821106
89,1,1,1,1,1,1,1,2300000,pathfinder-1kx1.5k.adj_list,1200000,24,0 63,2428.716324,2381.510300,1422.167114,1380.536057,175.372589,167.445724,71.107811
90,-1,-1,-1,-1,-1,-1,-1,2300000,pathfinder-1kx1.5k.adj_list,1200000,24,63 0,2385.349365,2452.490753,993.705978,1070.064682,240.528778,220.856506,98.422356
91,1,1,1,1,1,1,1,2300000,pathfinder-1kx1.5k.adj_list,1200000,24,0 63,2427.944366,2376.613983,1421.830490,1376.353989,176.508286,164.778564,71.059425
92,-1,-1,-1,-1,-1,-1,-1,2300000,pathfinder-1kx1.5k.adj_list,1200000,24,63 0,2406.713562,2472.320114,1002.460403,1077.271652,242.718170,220.941254,99.310280
93,1,1,1,1,1,1,1,2300000,pathfinder-1kx1.5k.adj_list,1200000,24,0 63,2328.918488,2384.644180,1319.341553,1380.535690,175.806992,158.391968,71.325104
94,-1,-1,-1,-1,-1,-1,-1,2300000,pathfinder-1kx1.5k.adj_list,1200000,24,63 0,2398.000198,2460.661972,999.189499,1071.257736,242.402039,216.048874,98.926491
95,1,1,1,1,1,1,1,2300000,pathfinder-1kx1.5k.adj_list,1200000,24,0 63,2344.874573,2398.167114,1329.454941,1388.393021,175.974472,169.771896,71.750763
96,-1,-1,-1,-1,-1,-1,-1,2300000,pathfinder-1kx1.5k.adj_list,1200000,24,63 0,2401.787613,2465.285675,1002.126282,1075.327927,241.494064,226.654846,98.972511
97,1,1,1,1,1,1,1,2300000,pathfinder-1kx1.5k.adj_list,1200000,24,0 63,2321.118378,2389.142441,1337.810791,1410.660904,169.476181,154.243896,69.477959
98,-1,-1,-1,-1,-1,-1,-1,2300000,pathfinder-1kx1.5k.adj_list,1200000,24,63 0,2392.292969,2463.979218,995.546143,1076.302277,240.102814,214.175583,98.772881
99,1,1,1,1,1,1,1,2300000,pathfinder-1kx1.5k.adj_list,1200000,24,0 63,2329.214722,2372.229614,1324.599411,1372.815979,174.376404,165.015259,70.994125
100,-1,-1,-1,-1,-1,-1,-1,2300000,pathfinder-1kx1.5k.adj_list,1200000,24,63 0,2400.339203,2505.733124,1003.123978,1117.804779,241.188171,224.462143,98.788544
